store_key,store_id,store_name,store_city,store_location,product_key,product_id,product_name,product_category,unit_margin,product_margin,forecasted_units_next_7_days,forecasted_units_next_30_days,demand_model_used
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,1,1,Action Figure,Toys,6.0,6.0,1.7305271295884375,6.347151883388285,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,2,2,Animal Figures,Toys,3.0,3.0,9.701422573988253,41.63686550360561,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,3,3,Barrel O' Slime,Art & Crafts,2.0,2.0,18.51626556385296,101.35160384525712,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,4,4,Chutes & Ladders,Games,3.0,3.0,1.530701325523938,6.721580201032465,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,5,5,Classic Dominoes,Games,2.0,2.0,0.5282369078790716,2.0281038113971572,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,6,6,Colorbuds,Electronics,8.0,8.0,8.669879470014886,35.24367911247534,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,7,7,Dart Gun,Sports & Outdoors,4.0,4.0,2.6242090170016636,10.335352830679987,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,8,8,Deck Of Cards,Games,3.0,3.0,19.0387499683504,82.79516977061748,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,9,9,Dino Egg,Toys,1.0,1.0,18.380835122693092,82.35299072824719,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,10,10,Dinosaur Figures,Toys,4.0,4.0,6.424745988906984,28.309834546452922,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,11,11,Etch A Sketch,Art & Crafts,10.0,10.0,5.169398826754533,23.638773976197047,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,12,12,Foam Disk Launcher,Sports & Outdoors,3.0,3.0,3.1369752966093563,12.379779444896021,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,13,13,Gamer Headphones,Electronics,6.0,6.0,1.7782991706573577,6.754318558758625,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,14,14,Glass Marbles,Games,5.0,5.0,5.6565506488307316,24.42630228379288,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,15,15,Hot Wheels 5-Pack,Toys,2.0,2.0,0.5042600562452373,1.7385209616789314,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,16,16,Jenga,Games,7.0,7.0,1.031410228572036,3.8174437404777235,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,17,17,Kids Makeup Kit,Art & Crafts,6.0,6.0,5.829943528132151,25.232765507567038,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,18,18,Lego Bricks,Toys,5.0,5.0,6.388183546127043,25.473407168102987,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,19,19,Magic Sand,Art & Crafts,2.0,2.0,18.05135605140166,77.73516275495415,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,20,20,Mini Basketball Hoop,Sports & Outdoors,16.0,16.0,0.5881716292202204,2.40470849963486,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,21,21,Mini Ping Pong Set,Sports & Outdoors,3.0,3.0,12.756598134274615,53.45679314379218,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,22,22,Monopoly,Games,6.0,6.0,1.9472340159336299,8.307847694341627,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,23,23,Mr. Potatohead,Toys,5.0,5.0,3.392281594945599,14.73172308290351,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,24,24,Nerf Gun,Sports & Outdoors,5.0,5.0,6.771617447082745,28.350771467249338,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,25,25,Playdoh Can,Art & Crafts,1.0,1.0,14.513069706119406,62.090145197870285,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,26,26,Playdoh Playset,Art & Crafts,4.0,4.0,1.322334613317683,5.591374340185302,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,27,27,Playdoh Toolkit,Art & Crafts,1.0,1.0,4.201183638603924,17.718579487539646,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,28,28,Playfoam,Art & Crafts,7.0,7.0,14.616762230234288,63.95422656506966,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,29,29,Plush Pony,Toys,11.0,11.0,0.9472015285823909,3.7654644146490956,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,30,30,Rubik's Cube,Games,2.0,2.0,7.155349225653213,30.109137514492794,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,31,31,Splash Balls,Sports & Outdoors,1.0,1.0,3.5483498366544217,14.707245432550565,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,32,32,Supersoaker Water Gun,Sports & Outdoors,3.0,3.0,1.0627248687201423,4.20304532758313,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,33,33,Teddy Bear,Toys,2.0,2.0,1.3287515464376476,5.723804914827869,fallback_product_average_per_active_store
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,34,34,Toy Robot,Electronics,5.0,5.0,2.5917086875318356,10.666095716340536,product_store_holt_winters_weekly_additive
24,24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,35,35,Uno Card Game,Games,4.0,4.0,1.3114588019562041,5.6556810998725595,fallback_product_average_per_active_store
10,10,Maven Toys Campeche 1,Campeche,Downtown,1,1,Action Figure,Toys,6.0,6.0,9.726562017120434,40.48824546537582,product_store_holt_winters_weekly_additive
10,10,Maven Toys Campeche 1,Campeche,Downtown,2,2,Animal Figures,Toys,3.0,3.0,9.744202138807466,41.39209958472704,fallback_product_average_per_active_store
